Date,US_EQUITY,INTL_EQUITY,US_BONDS,REAL_ESTATE,COMMODITIES
2019-01-02,99.77977024054209,100.50589698508894,99.90556555360985,100.01730605593235,99.69547783471914
2019-01-03,100.78325064514,100.9830516950754,99.85238548801962,101.8144800032018,100.16678934231311
2019-01-04,100.1541593552896,100.81887729418577,99.87436329912443,101.8484340774882,99.43059311037798
2019-01-07,98.2986383794142,100.38006119460763,99.53234169226238,101.46842378082144,100.50403004035007
2019-01-08,99.97824703826811,102.76174617382141,99.75347636419008,101.45396377554574,102.14926683797192
2019-01-09,99.24936893557329,102.29853972135312,99.89562184476799,101.01483709085744,105.25089576336875
2019-01-10,100.25825658136182,104.36743485589469,100.53320510496341,101.21544046893007,106.97335692617791
2019-01-11,100.98396202600011,104.88163028305846,100.65481450272588,102.5433753779052,107.4967794400047
2019-01-14,100.86025218132765,105.40642178178392,101.1359539279796,101.43245224325928,107.46609126853211
2019-01-15,102.61523521622632,107.39933083680633,102.10481548013746,102.53216706436581,107.49583456779594
2019-01-16,101.66871304277356,105.97024334973766,101.9472702251739,101.99713129334481,108.41600987818727
2019-01-17,101.55779735392203,104.58395436736332,101.51100706406673,101.9019292258986,107.99459448939504
2019-01-18,100.81195603304165,104.46183389476013,101.4035286271967,102.1517551702277,108.39090637546389
2019-01-21,101.01074584177596,104.7794128840978,101.24560870156023,103.58472053143653,107.32790778203277
2019-01-22,99.68098883773105,103.57446863360667,101.72571042074271,102.69635964489372,109.30960587696426
2019-01-23,98.86659991464263,102.95802821747387,102.27003909006471,101.97911021107544,109.23338027722731
2019-01-24,99.20693241630556,103.15236936614515,102.27708207777428,102.5538457595512,109.89263010053408
2019-01-25,100.69608499174771,104.2481159974089,102.54265899727326,102.59451439929921,110.80148808295903
2019-01-28,101.30768529487426,104.497458662442,102.43067411640116,102.17802609377786,110.07382204418361
2019-01-29,99.70037951045367,103.72902711254339,101.80060401262834,102.5100580829637,111.2081519896368
2019-01-30,100.47464648941897,103.13686717479493,101.35394776911227,102.375323451235,112.6201289682493
2019-01-31,101.19009928059224,103.6685083346401,101.37040870523101,103.22269907172641,112.78885411510002
2019-02-01,100.55639544906431,103.75392787516458,101.2928030481272,102.03558320588645,111.74292116562894
2019-02-04,101.96149621379857,105.19582947127262,101.3768097945692,101.7814951379588,112.33114134102738
